ID Nummer,Vorname,Nachname,Schichtverfügbarkeit,Qualifikationen,Überstunden,Schichtpräferenz,Einstellungsdatum,Entlassungsdatum,Gemischtwarenladen
ID49459,Idris,Booker,Morgenschicht,Verkäufer,JA,JA,01/03/2015,31/03/2016,5
ID91382,Trinity,Gordon,Morgenschicht,Reinigungskraft,JA,JA,01/03/2015,19/09/2015,5
ID39564,Steven,Harvey,Nachmittagsschicht,Aushilfe,JA,JA,02/03/2015,13/01/2016,2
ID38659,Francesco,Weeks,Nachmittagsschicht,Reinigungskraft,NEIN,JA,03/03/2015,25/04/2015,4
ID35637,Calum,Whitney,Nachmittagsschicht,Verkäufer,NEIN,JA,05/03/2015,19/12/2015,2
ID14553,Ava,Reilly,Nachmittagsschicht,Verkäufer,JA,JA,09/03/2015,03/07/2016,1
ID41213,Charlie,Lambert,Nachmittagsschicht,Reinigungskraft,NEIN,JA,12/03/2015,10/07/2015,6
ID92256,Lucia,Gutierrez,Nachmittagsschicht,Verkäufer,NEIN,NEIN,13/03/2015,03/09/2015,2
ID40653,Safwan,Schwartz,Morgenschicht,Reinigungskraft,JA,NEIN,15/03/2015,14/05/2015,5
ID49252,Safiya,Kaufman,Morgenschicht,Verkäufer,NEIN,JA,15/03/2015,31/05/2016,3
ID33904,Gemma,Castillo,Morgenschicht,Aushilfe,NEIN,JA,15/03/2015,23/12/2015,3
ID71975,Rajan,Maxwell,Morgenschicht,Aushilfe,NEIN,NEIN,18/03/2015,02/06/2015,2
ID59056,Zubair,Blevins,Nachmittagsschicht,Verkäufer,JA,JA,18/03/2015,23/09/2015,6
ID10154,Elizabeth,Beck,Morgenschicht,Verkäufer,JA,JA,22/03/2015,08/07/2016,3
ID77341,Cerys,Parker,Morgenschicht,Reinigungskraft,NEIN,NEIN,26/03/2015,24/04/2015,1
ID32206,Rosalie,Saunders,Morgenschicht,Aushilfe,NEIN,JA,28/03/2015,25/02/2017,4
ID62200,Emre,Brewer,Morgenschicht,Reinigungskraft,NEIN,JA,28/03/2015,06/07/2015,2
ID78619,Andrew,Conway,Nachmittagsschicht,Reinigungskraft,JA,NEIN,28/03/2015,07/06/2015,1
ID53879,Lorraine,Ayers,Nachmittagsschicht,Verkäufer,JA,JA,02/04/2015,14/07/2015,7
ID11665,Annalise,Mack,Morgenschicht,Reinigungskraft,NEIN,JA,05/04/2015,30/10/2015,6
ID65353,Simon,Hammond,Nachmittagsschicht,Verkäufer,NEIN,JA,08/04/2015,03/09/2015,1
ID28612,Eliot,Hebert,Morgenschicht,Verkäufer,NEIN,JA,11/04/2015,04/11/2015,5
ID24714,Roberta,Miranda,Morgenschicht,Verkäufer,NEIN,JA,12/04/2015,13/01/2016,6
ID68415,Katy,Hanson,Morgenschicht,Verkäufer,NEIN,NEIN,13/04/2015,04/08/2015,2
ID89038,Wendy,Fitzpatrick,Morgenschicht,Verkäufer,NEIN,JA,13/04/2015,19/10/2015,1
ID77199,Edie,Humphrey,Morgenschicht,Verkäufer,NEIN,NEIN,13/04/2015,30/07/2015,4
ID85151,Kallum,Hayes,Morgenschicht,Verkäufer,NEIN,NEIN,15/04/2015,26/08/2015,2
ID22910,Amber,Dixon,Nachmittagsschicht,Aushilfe,NEIN,JA,17/04/2015,29/01/2016,7
ID44888,Romeo,Burnett,Nachmittagsschicht,Aushilfe,NEIN,JA,22/04/2015,09/11/2015,8
ID42814,Ayden,Brooks,Morgenschicht,Verkäufer,NEIN,NEIN,22/04/2015,13/08/2015,3
ID26858,Neil,Foley,Morgenschicht,Verkäufer,NEIN,JA,25/04/2015,15/02/2016,3
ID44307,Neve,Reed,Morgenschicht,Verkäufer,JA,NEIN,27/04/2015,08/08/2015,5
ID77107,Callum,O'Ryan,Nachmittagsschicht,Verkäufer,JA,JA,28/04/2015,21/08/2015,2
ID48382,Lachlan,Frye,Morgenschicht,Reinigungskraft,NEIN,JA,01/05/2015,02/10/2015,4
ID46999,Chloe,Malone,Nachmittagsschicht,Verkäufer,NEIN,NEIN,02/05/2015,06/10/2015,5
ID46468,Chaya,Hooper,Nachmittagsschicht,Verkäufer,NEIN,JA,05/05/2015,20/12/2015,4
ID30591,Ebony,Randall,Morgenschicht,Reinigungskraft,JA,JA,07/05/2015,24/09/2015,5
ID16843,Junior,Brock,Nachmittagsschicht,Aushilfe,NEIN,JA,10/05/2015,10/07/2016,2
ID21501,Safa,Duran,Nachmittagsschicht,Reinigungskraft,NEIN,JA,10/05/2015,09/01/2016,1
ID51233,Shivam,Gay,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,11/05/2015,10/06/2015,6
ID15066,Kristen,Kirk,Morgenschicht,Aushilfe,NEIN,JA,13/05/2015,15/03/2016,4
ID17485,Issac,Saunders,Morgenschicht,Aushilfe,JA,JA,14/05/2015,24/09/2016,1
ID53509,Sarah,Valdez,Morgenschicht,Aushilfe,JA,JA,15/05/2015,26/08/2016,2
ID87522,Nicholas,Hartman,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,17/05/2015,09/07/2015,5
ID62879,Anisa,Clay,Nachmittagsschicht,Reinigungskraft,JA,JA,20/05/2015,21/01/2016,6
ID32630,Abby,Shah,Morgenschicht,Reinigungskraft,NEIN,NEIN,21/05/2015,12/08/2015,3
ID48145,Eddie,Mcdonald,Nachmittagsschicht,Reinigungskraft,JA,JA,25/05/2015,23/01/2016,7
ID24630,Lily-May,Holder,Nachmittagsschicht,Aushilfe,NEIN,JA,25/05/2015,10/01/2016,7
ID86307,Sahil,Wilson,Nachmittagsschicht,Verkäufer,NEIN,JA,28/05/2015,25/04/2016,5
ID10276,Qasim,Baird,Morgenschicht,Reinigungskraft,NEIN,NEIN,01/06/2015,10/08/2015,5
ID11818,Bernice,Gillespie,Morgenschicht,Reinigungskraft,JA,JA,02/06/2015,23/08/2015,1
ID61154,Marina,Estrada,Morgenschicht,Aushilfe,NEIN,JA,03/06/2015,20/01/2016,6
ID45206,Rajan,Melton,Morgenschicht,Reinigungskraft,JA,JA,03/06/2015,11/12/2015,5
ID91304,Daniyal,Nicholson,Nachmittagsschicht,Verkäufer,NEIN,JA,05/06/2015,22/10/2015,8
ID27512,Idris,Adams,Nachmittagsschicht,Verkäufer,NEIN,NEIN,06/06/2015,27/10/2015,1
ID59687,Sara,Ali,Morgenschicht,Reinigungskraft,JA,JA,07/06/2015,10/02/2016,3
ID70215,Nikodem,Valencia,Nachmittagsschicht,Verkäufer,JA,NEIN,09/06/2015,11/10/2015,5
ID61281,Herman,Navarro,Nachmittagsschicht,Aushilfe,NEIN,JA,10/06/2015,14/04/2016,5
ID12641,Safiyyah,Rhodes,Nachmittagsschicht,Reinigungskraft,NEIN,JA,12/06/2015,20/03/2016,1
ID64837,Todd,Parsons,Nachmittagsschicht,Verkäufer,NEIN,JA,12/06/2015,26/03/2016,2
ID21667,Luc,Koch,Nachmittagsschicht,Aushilfe,NEIN,NEIN,15/06/2015,22/10/2015,4
ID42222,Hugh,Rush,Morgenschicht,Verkäufer,NEIN,JA,16/06/2015,24/04/2016,4
ID55745,Lexie,Holt,Morgenschicht,Reinigungskraft,JA,JA,16/06/2015,28/11/2015,1
ID13562,Mia,Banks,Nachmittagsschicht,Aushilfe,JA,NEIN,19/06/2015,21/09/2015,7
ID7367,Lennox,Vargas,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,22/06/2015,24/08/2015,6
ID76280,Emily,Humphrey,Nachmittagsschicht,Verkäufer,NEIN,JA,22/06/2015,09/11/2015,6
ID60877,Lance,Butler,Nachmittagsschicht,Verkäufer,NEIN,JA,29/06/2015,12/10/2015,7
ID29298,Frederic,Dominguez,Nachmittagsschicht,Aushilfe,NEIN,JA,29/06/2015,09/08/2016,7
ID28067,Alexis,Petty,Nachmittagsschicht,Verkäufer,NEIN,NEIN,29/06/2015,17/10/2015,2
ID43479,Eleanor,Robinson,Morgenschicht,Verkäufer,NEIN,JA,01/07/2015,23/11/2015,8
ID58615,Katerina,Graves,Nachmittagsschicht,Verkäufer,NEIN,JA,02/07/2015,20/07/2016,2
ID15512,Sandra,Hooper,Morgenschicht,Verkäufer,NEIN,JA,02/07/2015,19/11/2015,7
ID43884,Emre,Sampson,Nachmittagsschicht,Reinigungskraft,NEIN,JA,03/07/2015,20/11/2015,5
ID53510,Samuel,Logan,Morgenschicht,Aushilfe,JA,JA,04/07/2015,13/12/2015,7
ID54598,Paul,Gutierrez,Morgenschicht,Reinigungskraft,NEIN,JA,11/07/2015,20/09/2015,2
ID57412,Jac,Mahoney,Nachmittagsschicht,Reinigungskraft,JA,JA,12/07/2015,05/01/2016,2
ID99671,Brandon,Arnold,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,13/07/2015,26/08/2015,4
ID77784,Cian,Green,Morgenschicht,Aushilfe,NEIN,JA,14/07/2015,09/03/2016,3
ID30484,Aiza,Calderon,Nachmittagsschicht,Aushilfe,NEIN,JA,17/07/2015,25/09/2015,3
ID59431,Kyran,Gallegos,Nachmittagsschicht,Verkäufer,NEIN,JA,17/07/2015,02/12/2015,1
ID77842,Rafferty,Robles,Morgenschicht,Verkäufer,JA,JA,18/07/2015,24/06/2016,7
ID30274,Ronald,Frazier,Morgenschicht,Verkäufer,NEIN,JA,20/07/2015,27/03/2017,7
ID79125,Kajus,Harmon,Morgenschicht,Verkäufer,NEIN,JA,21/07/2015,16/08/2016,2
ID94554,Erin,Leonard,Morgenschicht,Verkäufer,NEIN,JA,30/07/2015,17/04/2016,8
ID88199,Nabil,Mcdaniel,Nachmittagsschicht,Aushilfe,NEIN,JA,31/07/2015,21/09/2016,7
ID27521,Linda,Sharpe,Morgenschicht,Aushilfe,NEIN,NEIN,02/08/2015,13/12/2015,1
ID54700,Verity,Sampson,Nachmittagsschicht,Verkäufer,NEIN,JA,03/08/2015,02/09/2016,5
ID65030,Nevaeh,Rivas,Morgenschicht,Verkäufer,NEIN,JA,05/08/2015,25/04/2016,6
ID17337,Abdulrahman,Tate,Morgenschicht,Aushilfe,NEIN,JA,05/08/2015,11/01/2016,7
ID42571,Arjan,Fernandez,Morgenschicht,Verkäufer,NEIN,JA,06/08/2015,04/10/2016,4
ID55692,Siobhan,Decker,Morgenschicht,Reinigungskraft,NEIN,JA,06/08/2015,13/10/2015,1
ID81696,Finnley,Price,Morgenschicht,Verkäufer,JA,JA,06/08/2015,22/10/2015,4
ID83095,Byron,Jacobs,Morgenschicht,Aushilfe,NEIN,NEIN,12/08/2015,21/02/2016,1
ID49632,Sylvia,Mcdaniel,Morgenschicht,Verkäufer,NEIN,JA,12/08/2015,28/06/2016,2
ID51211,Fahad,Buckley,Morgenschicht,Reinigungskraft,NEIN,NEIN,13/08/2015,01/11/2015,1
ID85239,Gideon,Parsons,Morgenschicht,Aushilfe,NEIN,JA,15/08/2015,11/01/2016,7
ID91247,Aleeza,Lester,Nachmittagsschicht,Verkäufer,JA,NEIN,18/08/2015,18/12/2015,3
ID44435,Archibald,Cordova,Nachmittagsschicht,Verkäufer,NEIN,NEIN,19/08/2015,08/12/2015,4
ID18246,Aiden,Gates,Morgenschicht,Reinigungskraft,JA,NEIN,21/08/2015,26/10/2015,6
ID68720,Aaryan,Ballard,Nachmittagsschicht,Aushilfe,NEIN,JA,22/08/2015,16/05/2016,5
ID57686,Oliwia,Cooper,Nachmittagsschicht,Reinigungskraft,NEIN,JA,25/08/2015,28/03/2016,4
ID54655,Kitty,Haley,Morgenschicht,Verkäufer,JA,JA,27/08/2015,24/09/2016,1
ID49347,Isabel,Beasley,Nachmittagsschicht,Aushilfe,NEIN,JA,28/08/2015,27/12/2015,3
ID88146,Samuel,Briggs,Morgenschicht,Aushilfe,NEIN,JA,01/09/2015,30/09/2016,3
ID67753,Jodie,Archer,Morgenschicht,Reinigungskraft,NEIN,JA,02/09/2015,17/02/2016,4
ID18340,Courtney,Young,Morgenschicht,Reinigungskraft,JA,JA,03/09/2015,21/03/2016,4
ID74955,Anna,Collier,Morgenschicht,Verkäufer,NEIN,NEIN,05/09/2015,28/12/2015,1
ID1252,Phoenix,Wright,Nachmittagsschicht,Verkäufer,JA,JA,06/09/2015,31/12/2015,6
ID99273,Noel,Rose,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,11/09/2015,02/11/2015,1
ID46671,Adnan,Caldwell,Nachmittagsschicht,Reinigungskraft,NEIN,JA,11/09/2015,06/01/2016,1
ID35813,Asad,Hodge,Nachmittagsschicht,Reinigungskraft,JA,JA,12/09/2015,28/01/2016,5
ID24606,Kara,Oliver,Nachmittagsschicht,Aushilfe,NEIN,NEIN,14/09/2015,22/12/2015,6
ID47137,Chanel,Le,Nachmittagsschicht,Verkäufer,NEIN,NEIN,15/09/2015,27/12/2015,4
ID30711,Tomas,Drake,Morgenschicht,Verkäufer,NEIN,NEIN,18/09/2015,27/02/2016,5
ID64077,Katie,Murphy,Morgenschicht,Verkäufer,NEIN,JA,18/09/2015,09/03/2016,2
ID96218,Anita,Owens,Morgenschicht,Verkäufer,NEIN,JA,19/09/2015,31/07/2016,8
ID96678,Bronte,Acevedo,Nachmittagsschicht,Verkäufer,JA,NEIN,23/09/2015,06/12/2015,5
ID38748,Priya,O'Reilly,Nachmittagsschicht,Verkäufer,JA,NEIN,25/09/2015,04/05/2016,6
ID63864,Poppie,Rivas,Morgenschicht,Reinigungskraft,JA,NEIN,28/09/2015,26/11/2015,7
ID33111,Tommy,Russo,Nachmittagsschicht,Aushilfe,JA,NEIN,29/09/2015,23/01/2016,2
ID89198,Alexandros,Le,Nachmittagsschicht,Aushilfe,JA,NEIN,29/09/2015,16/03/2016,6
ID29971,Thomas,Lamb,Nachmittagsschicht,Verkäufer,JA,JA,05/10/2015,31/05/2016,3
ID34627,Lukas,Paul,Nachmittagsschicht,Aushilfe,NEIN,NEIN,06/10/2015,12/12/2015,7
ID17438,Miguel,Summers,Morgenschicht,Reinigungskraft,NEIN,JA,08/10/2015,22/02/2016,2
ID72708,Hasnain,Palmer,Nachmittagsschicht,Aushilfe,NEIN,JA,09/10/2015,22/10/2016,7
ID26289,Ellie-May,Ingram,Morgenschicht,Verkäufer,JA,JA,09/10/2015,20/06/2016,3
ID30560,Rosie,Ferrell,Nachmittagsschicht,Verkäufer,JA,NEIN,09/10/2015,30/11/2015,3
ID94716,Jakub,Hensley,Nachmittagsschicht,Verkäufer,NEIN,JA,09/10/2015,04/02/2017,3
ID53783,Jaime,George,Morgenschicht,Verkäufer,NEIN,NEIN,10/10/2015,27/01/2016,1
ID55208,Zeeshan,Woodward,Morgenschicht,Aushilfe,JA,NEIN,14/10/2015,16/02/2016,1
ID63019,Trinity,England,Morgenschicht,Aushilfe,JA,NEIN,15/10/2015,24/01/2016,6
ID53412,Sachin,Hayes,Morgenschicht,Reinigungskraft,NEIN,NEIN,15/10/2015,30/01/2016,7
ID60982,Aron,Moody,Morgenschicht,Verkäufer,NEIN,JA,16/10/2015,16/11/2016,3
ID70114,Owais,Sweeney,Morgenschicht,Reinigungskraft,JA,JA,18/10/2015,24/01/2016,8
ID9790,Tallulah,Hendricks,Nachmittagsschicht,Verkäufer,JA,JA,22/10/2015,03/07/2016,6
ID30402,India,Chang,Nachmittagsschicht,Aushilfe,NEIN,NEIN,22/10/2015,20/02/2016,5
ID76152,Mari,Johns,Morgenschicht,Aushilfe,NEIN,JA,22/10/2015,28/08/2016,2
ID92798,Abubakar,Delacruz,Morgenschicht,Aushilfe,JA,JA,22/10/2015,12/02/2016,6
ID61109,Isobella,Andersen,Morgenschicht,Verkäufer,NEIN,JA,23/10/2015,26/12/2015,1
ID50145,Karina,Ashley,Morgenschicht,Aushilfe,NEIN,JA,24/10/2015,02/07/2016,4
ID98408,Lilly,Hughes,Nachmittagsschicht,Verkäufer,NEIN,NEIN,25/10/2015,01/02/2016,3
ID23392,Liana,Young,Nachmittagsschicht,Verkäufer,NEIN,NEIN,29/10/2015,18/03/2016,1
ID33984,Luther,Sandoval,Nachmittagsschicht,Reinigungskraft,JA,NEIN,29/10/2015,05/12/2015,4
ID71966,Ethan,Davis,Nachmittagsschicht,Aushilfe,NEIN,JA,29/10/2015,23/02/2017,6
ID46617,Jake,Green,Morgenschicht,Aushilfe,NEIN,JA,29/10/2015,04/06/2016,8
ID13595,Amanda,Mcgowan,Nachmittagsschicht,Reinigungskraft,JA,JA,31/10/2015,27/01/2016,6
ID69638,Jensen,Colon,Morgenschicht,Aushilfe,JA,JA,01/11/2015,25/06/2016,2
ID88135,Hussain,Chan,Nachmittagsschicht,Verkäufer,NEIN,JA,02/11/2015,23/08/2016,7
ID17286,Ronan,Newton,Nachmittagsschicht,Verkäufer,NEIN,NEIN,03/11/2015,09/12/2015,4
ID60648,Ellis,Newton,Morgenschicht,Reinigungskraft,NEIN,JA,03/11/2015,02/02/2016,6
ID85477,Fiona,Briggs,Morgenschicht,Verkäufer,NEIN,JA,04/11/2015,05/06/2016,1
ID31582,Pedro,Lam,Morgenschicht,Reinigungskraft,NEIN,NEIN,05/11/2015,21/02/2016,4
ID30489,Finnley,Mason,Nachmittagsschicht,Aushilfe,JA,JA,06/11/2015,31/05/2016,1
ID62407,Haris,Hughes,Morgenschicht,Aushilfe,NEIN,JA,07/11/2015,18/12/2016,8
ID19870,Abdur,Mcdowell,Nachmittagsschicht,Reinigungskraft,NEIN,JA,11/11/2015,08/03/2016,8
ID21609,Dylan,Frye,Morgenschicht,Reinigungskraft,NEIN,NEIN,12/11/2015,24/12/2015,8
ID23963,Aine,Velazquez,Morgenschicht,Verkäufer,NEIN,JA,12/11/2015,29/09/2016,3
ID29465,Shauna,Higgins,Nachmittagsschicht,Verkäufer,NEIN,JA,13/11/2015,02/12/2016,7
ID76010,Marianne,Mosley,Nachmittagsschicht,Verkäufer,NEIN,NEIN,15/11/2015,18/01/2016,3
ID83136,Harri,Roth,Nachmittagsschicht,Verkäufer,NEIN,JA,21/11/2015,08/11/2016,1
ID52638,Teddy,Bonner,Nachmittagsschicht,Reinigungskraft,NEIN,JA,23/11/2015,16/02/2016,1
ID16726,Gerald,Washington,Morgenschicht,Reinigungskraft,NEIN,JA,25/11/2015,26/06/2016,5
ID50130,Milton,Harvey,Nachmittagsschicht,Aushilfe,NEIN,NEIN,28/11/2015,06/04/2016,3
ID62377,Emily,Bullock,Morgenschicht,Aushilfe,NEIN,JA,29/11/2015,26/07/2016,3
ID72053,Tommy,Andersen,Morgenschicht,Reinigungskraft,NEIN,JA,29/11/2015,19/02/2016,2
ID54374,Rhonda,Davidson,Morgenschicht,Aushilfe,JA,JA,03/12/2015,29/06/2016,3
ID84828,Lydia,Pace,Morgenschicht,Reinigungskraft,JA,JA,07/12/2015,03/03/2016,4
ID12941,Osman,Raymond,Nachmittagsschicht,Aushilfe,JA,JA,08/12/2015,27/12/2016,1
ID31953,Walter,Cabrera,Morgenschicht,Verkäufer,NEIN,JA,09/12/2015,27/06/2016,1
ID30335,Nikhil,Cordova,Nachmittagsschicht,Aushilfe,JA,JA,09/12/2015,30/06/2016,1
ID51529,Dalton,Mcmillan,Morgenschicht,Aushilfe,JA,JA,12/12/2015,12/04/2017,7
ID26501,Vinnie,Suarez,Morgenschicht,Verkäufer,JA,JA,12/12/2015,26/06/2016,6
ID52455,Leena,Aguilar,Morgenschicht,Reinigungskraft,NEIN,JA,14/12/2015,15/03/2016,6
ID17756,Aron,Burns,Nachmittagsschicht,Verkäufer,NEIN,JA,17/12/2015,12/08/2016,4
ID23176,Lyndon,Duncan,Morgenschicht,Aushilfe,JA,JA,19/12/2015,12/05/2017,2
ID29387,Ashton,Boyd,Morgenschicht,Reinigungskraft,NEIN,JA,19/12/2015,21/05/2016,7
ID56853,Syeda,Combs,Nachmittagsschicht,Reinigungskraft,JA,JA,21/12/2015,29/08/2016,7
ID17841,Ross,Rowland,Morgenschicht,Verkäufer,JA,JA,25/12/2015,15/10/2016,4
ID70080,Rosalind,Grimes,Morgenschicht,Reinigungskraft,NEIN,NEIN,27/12/2015,31/01/2016,4
ID53827,Sasha,Abbott,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,28/12/2015,14/03/2016,6
ID83565,Ivan,Hernandez,Morgenschicht,Aushilfe,JA,JA,29/12/2015,19/06/2016,2
ID63110,Aryan,Padilla,Nachmittagsschicht,Aushilfe,NEIN,NEIN,01/01/2016,11/03/2016,3
ID75781,Elmer,Osborn,Morgenschicht,Verkäufer,NEIN,JA,07/01/2016,31/12/2016,2
ID87969,Kurtis,Baxter,Nachmittagsschicht,Aushilfe,NEIN,JA,07/01/2016,04/08/2016,4
ID41003,Nana,Cotton,Morgenschicht,Aushilfe,JA,JA,08/01/2016,30/12/2016,6
ID67912,Colin,Moses,Nachmittagsschicht,Verkäufer,NEIN,JA,11/01/2016,23/04/2016,1
ID32003,Martha,Stanton,Nachmittagsschicht,Verkäufer,JA,NEIN,12/01/2016,03/08/2016,4
ID10552,Margie,Padilla,Nachmittagsschicht,Reinigungskraft,JA,JA,12/01/2016,09/04/2016,5
ID16745,Kezia,Church,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,14/01/2016,01/02/2016,4
ID41892,Demi-Leigh,Brewer,Nachmittagsschicht,Aushilfe,NEIN,NEIN,15/01/2016,06/04/2016,5
ID10373,Ciara,Gaines,Morgenschicht,Reinigungskraft,NEIN,JA,16/01/2016,30/04/2016,6
ID50457,Niamh,Rogers,Nachmittagsschicht,Aushilfe,JA,JA,20/01/2016,27/06/2016,2
ID46678,Elouise,Graves,Morgenschicht,Reinigungskraft,NEIN,JA,21/01/2016,06/01/2017,6
ID5439,Salman,Molina,Nachmittagsschicht,Verkäufer,JA,NEIN,26/01/2016,19/03/2016,7
ID10595,Alexandria,Barron,Morgenschicht,Reinigungskraft,NEIN,JA,30/01/2016,28/05/2016,4
ID36040,Wade,Harrington,Nachmittagsschicht,Reinigungskraft,JA,JA,10/02/2016,11/07/2016,6
ID55268,Amber,Duran,Morgenschicht,Verkäufer,NEIN,NEIN,13/02/2016,03/08/2016,3
ID70722,Erin,Carter,Nachmittagsschicht,Verkäufer,NEIN,JA,15/02/2016,11/02/2017,1
ID46546,Aleksander,Ford,Morgenschicht,Reinigungskraft,NEIN,JA,16/02/2016,24/09/2016,1
ID35657,Andre,Lyons,Morgenschicht,Aushilfe,JA,NEIN,20/02/2016,09/05/2016,3
ID37178,Gabriella,Abbott,Nachmittagsschicht,Aushilfe,NEIN,JA,20/02/2016,02/09/2016,3
ID57406,Soraya,Raymond,Morgenschicht,Verkäufer,NEIN,NEIN,21/02/2016,21/07/2016,5
ID81231,Minnie,Dunlap,Morgenschicht,Verkäufer,JA,JA,24/02/2016,03/06/2017,8
ID96587,Marnie,Banks,Nachmittagsschicht,Aushilfe,NEIN,JA,28/02/2016,27/06/2016,2
ID30366,Aine,Holt,Nachmittagsschicht,Reinigungskraft,JA,JA,05/03/2016,22/06/2016,6
ID88938,Viola,Mccullough,Nachmittagsschicht,Reinigungskraft,NEIN,JA,05/03/2016,24/05/2016,6
ID45920,Omer,Clark,Morgenschicht,Verkäufer,JA,JA,06/03/2016,01/09/2016,7
ID76994,Tahlia,Pearson,Morgenschicht,Aushilfe,JA,JA,08/03/2016,17/10/2017,8
ID34817,Helen,Joyce,Morgenschicht,Verkäufer,NEIN,JA,10/03/2016,17/11/2016,1
ID42021,Minnie,Fischer,Nachmittagsschicht,Verkäufer,NEIN,NEIN,11/03/2016,20/06/2016,5
ID49240,Dalton,Ingram,Nachmittagsschicht,Aushilfe,NEIN,JA,12/03/2016,26/08/2016,7
ID27075,Husna,Carroll,Nachmittagsschicht,Verkäufer,NEIN,NEIN,12/03/2016,02/05/2016,8
ID60926,Maxwell,Silva,Morgenschicht,Verkäufer,JA,JA,16/03/2016,31/10/2016,3
ID51163,April,Kerr,Morgenschicht,Aushilfe,NEIN,JA,16/03/2016,28/11/2016,5
ID97576,Kiran,Woodard,Nachmittagsschicht,Aushilfe,NEIN,JA,17/03/2016,19/02/2017,3
ID92079,Marvin,Johnson,Morgenschicht,Verkäufer,NEIN,JA,17/03/2016,06/04/2017,5
ID10712,Kenny,Nixon,Nachmittagsschicht,Reinigungskraft,NEIN,JA,19/03/2016,25/05/2016,6
ID82044,Humaira,Tran,Nachmittagsschicht,Aushilfe,NEIN,JA,27/03/2016,09/10/2016,1
ID74257,Asma,Burgess,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,27/03/2016,30/05/2016,7
ID42925,Jed,Ballard,Morgenschicht,Verkäufer,NEIN,NEIN,29/03/2016,27/06/2016,4
ID99675,Hafsah,Palmer,Morgenschicht,Aushilfe,NEIN,JA,29/03/2016,03/01/2017,7
ID78176,Haroon,Gibbons,Morgenschicht,Reinigungskraft,JA,JA,30/03/2016,22/07/2016,7
